AGYSUB,LOC,AGELVL,EDLVL,GSEGRD,LOSLVL,OCC,PATCO,PP,PPGRD,SALLVL,STEMOCC,SUPERVIS,TOA,WORKSCH,WORKSTAT,DATECODE,EMPLOYMENT,SALARY,LOS,AGYSUB,LOC,AGELVL,EDLVL,GSEGRD,LOSLVL,OCC,PATCO,PP1,PPGRD,SALLVL,STEMOCC,SUPERVIS,TOA,WORKSCH,WORKSTAT,DATECODE1,EMPLOYMENT1,SALARY,LOS,Salary_hike
ARXK,35,J,13,13,F,855,1,99,GS-13,K,855,8,10,F,1,202106,1,110572,17.9,ARXK,35,J,13,13,F,855,1,99,GS-13,K,855,8,10,F,1,202109,1,110572,18.2,0
ARXK,35,G,17,15,F,855,1,99,GS-15,P,855,2,10,F,1,202106,1,162233,18.9,ARXK,35,G,17,15,F,855,1,99,GS-15,P,855,2,10,F,1,202109,1,162233,19.2,0
ARXK,35,G,13,12,F,856,3,99,GS-12,H,XXXX,8,10,F,1,202106,1,87822,16.8,ARXK,35,G,13,12,F,856,3,99,GS-12,H,XXXX,8,10,F,1,202109,1,87822,17.1,0
ARXK,35,J,11,12,G,856,3,99,GS-12,I,XXXX,8,10,F,1,202106,1,95572,23.4,ARXK,35,J,11,12,G,856,3,99,GS-12,I,XXXX,8,10,F,1,202109,1,95572,23.7,0
ARXK,35,I,8,12,F,856,3,99,GS-12,I,XXXX,8,10,F,1,202106,1,92988,17.9,ARXK,35,I,8,12,F,856,3,99,GS-12,I,XXXX,8,10,F,1,202109,1,92988,18.2,0
ARXK,35,J,6,12,I,856,3,99,GS-12,J,XXXX,8,10,F,1,202106,1,100739,32,ARXK,35,J,6,12,I,856,3,99,GS-12,J,XXXX,8,10,F,1,202109,1,100739,32.3,0
ARXK,35,F,9,12,F,856,3,99,GS-12,I,XXXX,8,10,F,1,202106,1,98155,16.8,ARXK,35,F,9,12,F,856,3,99,GS-12,I,XXXX,8,10,F,1,202109,1,98155,17.1,0
ARXK,35,I,17,13,F,1310,1,99,GS-13,K,1310,8,10,F,1,202106,1,113644,17.9,ARXK,35,I,17,13,F,1310,1,99,GS-13,K,1310,8,10,F,1,202109,1,113644,18.2,0
ARXK,35,F,13,13,E,501,2,99,GS-13,J,XXXX,8,10,F,1,202106,1,104429,11,ARXK,35,F,13,13,E,501,2,99,GS-13,J,XXXX,8,10,F,1,202109,1,104429,11.3,0
ARXK,35,C,13,12,D,855,1,99,GS-12,H,855,8,10,F,1,202106,1,82655,5.8,ARXK,35,C,13,12,D,855,1,99,GS-12,H,855,8,10,F,1,202109,1,82655,6.1,0
ARXK,35,C,17,12,D,854,1,99,GS-12,H,854,8,10,F,1,202106,1,80072,5.8,ARXK,35,C,17,12,D,854,1,99,GS-12,H,854,8,10,F,1,202109,1,80072,6.1,0
ARXK,35,E,13,8,C,856,3,99,GS-08,D,XXXX,8,10,F,1,202106,1,48378,4.5,ARXK,35,E,13,8,C,856,3,99,GS-08,D,XXXX,8,10,F,1,202109,1,48378,4.8,0
ARXK,35,F,12,9,C,501,2,99,GS-09,F,XXXX,8,10,F,1,202106,1,65900,4.5,ARXK,35,F,12,9,C,501,2,99,GS-09,F,XXXX,8,10,F,1,202109,1,65900,4.8,0
ARXK,35,C,13,12,C,855,1,99,GS-12,H,855,8,10,F,1,202106,1,82655,4.3,ARXK,35,C,13,12,C,855,1,99,GS-12,H,855,8,10,F,1,202109,1,82655,4.6,0
ARXK,35,F,12,9,C,2010,2,99,GS-09,E,XXXX,8,10,F,1,202106,1,55214,3.9,ARXK,35,F,12,9,C,2010,2,99,GS-09,E,XXXX,8,10,F,1,202109,1,56995,4.2,1
ARXK,35,C,12,7,C,856,3,99,GS-07,D,XXXX,8,10,F,1,202106,1,43683,3,ARXK,35,C,12,7,C,856,3,99,GS-07,D,XXXX,8,10,F,1,202109,1,43683,3.3,0
ARXK,35,C,17,12,B,1310,1,99,GS-12,G,1310,8,15,F,1,202106,1,77488,2,ARXK,35,C,17,12,B,1310,1,99,GS-12,G,1310,8,15,F,1,202109,1,77488,2.3,0
ARXK,35,C,13,7,B,1399,5,99,GS-07,D,XXXX,8,20,P,2,202106,1,43683,1,ARXK,35,C,13,9,B,1399,5,99,GS-09,E,XXXX,8,20,P,2,202109,1,53433,1.3,1
ARXK,35,C,17,9,B,1310,1,99,GS-09,E,1310,8,15,F,1,202106,1,53433,1,ARXK,35,C,17,9,B,1310,1,99,GS-09,E,1310,8,15,F,1,202109,1,53433,1.3,0
ARXK,35,B,13,7,B,855,1,99,GS-07,D,855,8,15,F,1,202106,1,48978,1,ARXK,35,B,13,9,B,855,1,99,GS-09,E,855,8,15,F,1,202109,1,59907,1.3,1
